Coin,Execution Price,Size Tokens,Size USD,Side,Start Position,Closed PnL,Crossed,Fee,Timestamp,Date,Direction_num,Profit_flag,sentiment_num
BTC,91000.0,0.00013,11.83,1,-1.78967,-0.063804,False,0.001183,2025-04-23 02:30:00,2025-04-23,0,0,1
BTC,91000.0,0.00027,24.57,1,-1.78954,-0.132516,False,0.002457,2025-04-23 02:30:00,2025-04-23,0,0,1
BTC,91000.0,0.00357,324.87,1,-1.78927,-1.752156,False,0.032487,2025-04-23 02:30:00,2025-04-23,0,0,1
BTC,92800.0,0.00598,554.94,1,-1.7857,-13.698984,False,0.055494,2025-04-23 03:52:00,2025-04-23,0,0,1
BTC,92775.0,0.00598,554.79,1,-1.77972,-13.549484,False,0.055479,2025-04-23 03:53:00,2025-04-23,0,0,1
BTC,92750.0,0.00598,554.64,1,-1.77374,-13.399984,False,0.055464,2025-04-23 03:53:00,2025-04-23,0,0,1
BTC,92725.0,0.00598,554.5,1,-1.76776,-13.250484,False,0.055449,2025-04-23 03:53:00,2025-04-23,0,0,1
BTC,92750.0,0.00598,554.64,1,-1.76178,-13.399984,False,0.055464,2025-04-23 04:05:00,2025-04-23,0,0,1
BTC,92725.0,0.00598,554.5,1,-1.7558,-13.250484,False,0.055449,2025-04-23 04:05:00,2025-04-23,0,0,1
BTC,92700.0,0.00598,554.35,1,-1.74982,-13.100984,False,0.055434,2025-04-23 04:06:00,2025-04-23,0,0,1
BTC,92675.0,0.00598,554.2,1,-1.74384,-12.951484,False,0.055419,2025-04-23 04:06:00,2025-04-23,0,0,1
BTC,92650.0,0.00599,554.97,1,-1.73786,-12.823392,False,0.055497,2025-04-23 04:08:00,2025-04-23,0,0,1
BTC,92625.0,0.00599,554.82,1,-1.73187,-12.673642,False,0.055482,2025-04-23 04:08:00,2025-04-23,0,0,1
BTC,92600.0,0.00599,554.67,1,-1.72588,-12.523892,False,0.055467,2025-04-23 04:09:00,2025-04-23,0,0,1
BTC,92650.0,0.00599,554.97,1,-1.71989,-12.823392,False,0.055497,2025-04-23 04:16:00,2025-04-23,0,0,1
BTC,92625.0,0.00599,554.82,1,-1.7139,-12.673642,False,0.055482,2025-04-23 04:17:00,2025-04-23,0,0,1
BTC,92600.0,0.00599,554.67,1,-1.70791,-12.523892,False,0.055467,2025-04-23 04:17:00,2025-04-23,0,0,1
BTC,92575.0,0.00599,554.52,1,-1.70192,-12.374142,False,0.055452,2025-04-23 04:19:00,2025-04-23,0,0,1
BTC,92750.0,0.00598,554.64,1,-1.69593,-13.399984,False,0.055464,2025-04-23 04:29:00,2025-04-23,0,0,1
BTC,92974.0,0.00584,542.97,0,-1.68995,0.0,True,0.190038,2025-04-23 04:37:00,2025-04-23,-1,0,1
BTC,92974.0,0.00538,500.2,0,-1.69579,0.0,True,0.17507,2025-04-23 04:37:00,2025-04-23,-1,0,1
